"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Austria","AUT","Population, male","SP.POP.TOTL.MA.IN","3282797","3303028","3325774","3349873","3375100","3400030","3426982","3455792","3476922","3492071","3507355","3526064","3549599","3572210","3581050","3574148","3570260","3573926","3573309","3569618","3572232","3584241","3589984","3587587","3590946","3596364","3602463","3608671","3618029","3639196","3672618","3715871","3764035","3802473","3824118","3836304","3847121","3856495","3865064","3876199","3888395","3905356","3925924","3945945","3971306","3999505","4020777","4035626","4050430","4063492","4075960","4092609","4114435","4142296","4178984","4231048","4282881","4319226","4350139","",
"Azerbaijan","AZE","Population, male","SP.POP.TOTL.MA.IN","1863218","1932009","2003975","2077303","2149589","2219059","2285019","2347680","2407313","2464555","2519911","2573350","2624773","2674695","2723756","2772484","2821126","2869760","2918474","2967305","3016298","3065467","3114936","3165025","3216110","3268404","3321890","3376316","3431351","3486553","3500492","3553817","3606983","3661402","3710635","3753173","3790889","3827453","3864371","3899993","3935204","3970490","4006302","4043665","4086138","4134503","4185828","4238613","4333182","4428526","4485924","4549072","4614067","4678173","4740934","4801750","4859774","4911735","4959659","",
"Burundi","BDI","Population, male","SP.POP.TOTL.MA.IN","1350785","1378165","1405732","1434412","1465446","1499555","1537643","1578998","1620715","1658835","1690762","1715244","1733804","1750077","1769220","1794987","1828659","1869247","1915509","1965254","2016890","2069821","2124545","2181821","2242829","2308149","2378098","2451572","2525966","2597831","2664652","2726279","2783419","2835675","2882783","2925148","2962031","2995037","3029759","3073611","3131928","3206898","3297227","3400369","3512138","3629309","3751517","3879438","4012092","4148465","4287849","4429454","4573299","4720463","4872572","5030733","5195255","5365503","5540530","",
"Belgium","BEL","Population, male","SP.POP.TOTL.MA.IN","4503524","4517094","4533442","4565624","4607152","4647323","4677048","4701444","4718271","4729870","4732626","4739202","4755653","4768512","4781582","4793742","4800959","4805831","4809540","4813315","4818261","4817946","4816634","4816431","4816750","4818768","4821284","4826362","4842768","4861369","4876707","4895500","4915880","4935471","4950976","4961594","4971479","4983657","4994557","5006580","5019740","5038558","5063146","5086571","5110738","5140743","5176325","5215882","5258403","5301677","5350771","5420651","5453743","5479418","5505521","5541882","5577477","5609017","5643265","",
"Benin","BEN","Population, male","SP.POP.TOTL.MA.IN","1156653","1174505","1193682","1214260","1236327","1259940","1285185","1312016","1340314","1369845","1400497","1432232","1465180","1499542","1535628","1573664","1613797","1656027","1700363","1746755","1795186","1845824","1898838","1954270","2012142","2072577","2135321","2200613","2269539","2343544","2423543","2510181","2602819","2699502","2797457","2894761","2990565","3085567","3181233","3279808","3382860","3490952","3603444","3719314","3836993","3955403","4074235","4194027","4315625","4440263","4568836","4701607","4838352","4978893","5122908","5270127","5420567","5574303","5731245","",
"Burkina Faso","BFA","Population, male","SP.POP.TOTL.MA.IN","2457982","2484676","2511377","2538876","2568306","2600480","2635737","2673841","2714310","2756405","2799624","2843985","2889858","2937420","2986974","3038847","3093041","3149804","3210037","3274868","3345108","3421191","3502955","3589834","3680939","3775648","3873859","3975820","4081648","4191546","4305690","4424199","4547104","4674454","4806274","4942640","5083686","5229682","5381022","5538202","5701658","5871498","6047906","6231413","6422634","6622001","6829729","7045682","7269411","7500236","7737622","7981452","8231726","8488205","8750625","9018776","9292529","9571872","9856908","",
"Bangladesh","BGD","Population, male","SP.POP.TOTL.MA.IN","24959604","25646780","26351778","27086478","27867872","28704368","29609838","30570717","31535596","32434720","33222322","33874844","34418351","34917785","35465707","36129191","36929936","37848918","38862774","39931817","41026187","42140180","43281854","44450472","45647733","46873367","48126412","49400281","50682701","51958239","53216138","54448121","55656705","56855149","58063171","59293799","60547972","61816489","63089548","64353199","65594994","66817463","68017430","69170301","70244876","71221594","72087518","72855835","73565714","74272293","75015690","75810021","76644946","77506257","78369631","79217151","80045712","80861559","81666653","",
"Bulgaria","BGR","Population, male","SP.POP.TOTL.MA.IN","3928038","3966741","4002587","4036127","4070075","4100691","4128134","4154504","4184251","4216379","4243701","4266498","4285526","4306804","4334397","4353961","4371306","4392346","4395298","4398923","4413918","4425456","4434965","4442061","4448115","4443384","4437237","4438504","4437988","4380730","4296745","4248622","4197417","4158287","4138629","4115072","4089222","4060235","4029604","4003973","3981626","3901056","3815705","3784492","3755403","3727030","3699084","3672616","3647696","3624873","3601310","3578030","3556675","3535805","3514595","3491057","3465478","3439061","3412779","",
"Bahrain","BHR","Population, male","SP.POP.TOTL.MA.IN","86961","90316","93685","96942","99917","102535","104741","106689","108732","111354","114922","119424","124809","131354","139372","149005","160519","173644","187255","199835","210355","218279","224029","228603","233474","239714","247705","257058","267167","277088","286170","294448","302322","309880","317314","324896","332613","340858","350776","363867","381226","402686","427998","457878","493190","534144","582064","635790","690041","737699","774049","796036","806031","811369","822541","846755","886937","939848","998975","",
"Bahamas, The","BHS","Population, male","SP.POP.TOTL.MA.IN","52387","55333","58466","61744","65096","68455","71830","75180","78406","81342","83904","86030","87764","89291","90863","92658","94749","97063","99542","102073","104564","107005","109424","111809","114148","116416","118608","120725","122802","124922","127132","129473","131916","134328","136537","138435","139954","141183","142300","143567","145178","147188","149534","152150","154923","157778","160699","163690","166651","169452","172010","174268","176255","178059","179814","181611","183481","185390","187324","",
